(4, 0.31857923497268104)
(6, 2.7131147540983704)
(8, 0.3763075722092175)
(4, 5.1655867811605525)
(22, 0.4739916731720015)
(4, 4.935694769711162)
(20, 3.7891881342700984)
(2, 0.4965261514441863)
(20, 3.885011709601873)
(8, 0.8289617486338834)
(16, 2.516757741347906)
(6, 1.837158469945365)
(16, 6.0871194379391085)
(2, 8.509094457455117)
(18, 7.0405737704918)
(2, 3.943306010928964)
(8, 0.4283762685402088)
(2, 2.9967017954722905)
(14, 0.007377049180327333)
(14, 0.28756830601092886)
(18, 0.1775175644028124)
(2, 1.1387197501951647)
(22, 0.30901639344261866)
(22, 0.9537861046057792)
(2, 5.561124121779862)
(6, 4.5522443403590955)
(8, 17.094262295081972)
(14, 0.3517174082747836)
(16, 21.44683840749414)
(6, 3.1977881863127706)
(8, 0.5050351288056198)
(8, 1.822540983606558)
(6, 24.616354410616704)
(2, 2.097092115534739)
(12, 15.945140515222484)
(4, 17.78579234972678)
(4, 16.01122170179548)
(2, 0.8185402029664299)
(8, 14.959575852198803)
(4, 15.152485037730937)
(2, 14.560694769711159)
(4, 6.348204527712722)
(6, 0.2587691907364018)
(2, 2.5729508196721316)
(14, 0.2064663023679465)
(22, 0.5929156908665085)
(14, 0.6228142076502756)
(4, 0.570608899297433)
(14, 4.62423887587822)
(2, 0.39990241998438947)
(16, 0.018032786885246566)
(2, 2.301912568306008)
(2, 13.09882903981265)
(16, 0.3384074941451978)
(16, 2.0608508977361453)
(2, 1.0678961748633888)
(4, 0.5733411397345876)
(16, 0.4924863387978178)
(12, 0.04264246682279449)
(2, 2.6839188134270096)
(8, 7.7587431693988975)
(10, 19.491100702576112)
(4, 0.1779469164715053)
(16, 4.773900598490766)
(2, 9.622092115534734)
(4, 15.65187353629976)
(10, 4.917642466822798)
(8, 0.07751756440280744)
(2, 4.4204918032786935)
(16, 4.484797033567517)
(4, 13.463192818110855)
(10, 18.406986729117882)
(2, 4.624121779859486)
(4, 0.906869633099145)
(14, 1.3476775956284186)
(2, 0.3927400468384086)
(6, 3.3459016393442553)
(8, 0.5557377049180303)
